gpu batch 50;;;;;cpu batch 50;;;;;gpu batch 500
time;epoch;test_loss;train_loss;;time;epoch;test_loss;train_loss;;
02.09.2019 13:04;0;162.617;162.617;;02.09.2019 13:20;0;160.759;160.759;;
02.09.2019 13:05;10;101.343;101.343;;02.09.2019 13:21;10;101.361;101.361;;
02.09.2019 13:06;20;88.861;88.861;;02.09.2019 13:23;20;85.9643;85.9643;;
02.09.2019 13:07;30;74.9345;74.9345;;02.09.2019 13:24;30;73.6685;73.6685;;
02.09.2019 13:08;40;64.7076;64.7076;;02.09.2019 13:25;40;64.502;64.502;;
02.09.2019 13:09;50;57.5628;57.5628;;02.09.2019 13:27;50;57.0472;57.0472;;
02.09.2019 13:10;60;52.4047;52.4047;;02.09.2019 13:28;60;50.9362;50.9362;;
02.09.2019 13:12;70;48.2254;48.2254;;02.09.2019 13:30;70;45.8059;45.8059;;
02.09.2019 13:13;80;44.8796;44.8796;;02.09.2019 13:31;80;41.7772;41.7772;;
02.09.2019 13:14;90;42.0467;42.0467;;02.09.2019 13:33;90;38.939;38.939;;
00:09:58;;;;;00:13:09;;;;;00:00:00
